This is the first line in the file
This is the second line in the file
This is me counting and the number is 1
This is me counting and the number is 2
This is me counting and the number is 3
This is me counting and the number is 4
This is me counting and the number is 5
This is me counting and the number is 6
This is me counting and the number is 7
This is me counting and the number is 8
This is me counting and the number is 9
This is me counting and the number is 10
This is me counting and the number is 1
This is me counting and the number is 2
This is me counting and the number is 3
This is me counting and the number is 4
This is me counting and the number is 5
This is me counting and the number is 6
This is me counting and the number is 7
This is me counting and the number is 8
This is me counting and the number is 9
This is me counting and the number is 10
