Exercise Minutes,Coffees,Av HR,Eat after 9pm,Steps,Age,Hours awake,Day,Sleep Rating
34,3,63,1,10484,51,19,2,2
5,2,68,0,5696,54,17,1,1
65,2,60,1,5199,42,11,2,3
57,1,50,1,6816,26,11,1,4
61,3,45,0,4561,35,13,7,4
57,3,51,1,8591,84,14,2,3
7,3,58,0,2900,60,16,7,1
24,1,49,1,1207,21,15,7,2
54,2,66,0,9625,27,13,3,3
25,1,63,0,7607,79,15,3,1
47,2,51,1,3994,66,18,6,2
73,1,49,1,2364,61,14,7,3
51,0,49,0,5670,44,11,3,4
109,2,58,1,6920,22,15,2,4
48,0,50,0,1709,55,12,6,3
115,1,48,0,5850,38,14,2,4
37,2,49,0,4929,32,22,4,3
7,0,49,1,6912,20,14,7,3
28,2,44,1,5237,81,11,1,2
24,3,53,1,7217,77,18,1,1
32,2,51,1,7299,21,13,2,3
5,1,67,1,7279,21,17,3,1
73,2,66,1,11965,71,15,3,3
53,1,67,1,3320,75,14,5,1
31,2,64,0,11686,61,14,3,2
79,1,40,0,4698,32,12,2,4
45,1,69,1,6275,54,14,2,2
57,1,56,1,3144,48,14,3,3
13,1,46,1,8541,39,13,6,3
81,0,57,1,7623,18,16,2,4
119,2,67,1,10373,52,10,1,4
35,0,60,1,3080,67,18,4,1
54,1,53,0,7387,67,16,3,3
60,2,56,1,9671,50,11,5,3
16,0,66,1,6786,38,12,2,2
5,0,59,0,5906,48,7,1,1
5,1,57,1,8056,63,19,7,1
115,0,59,0,7625,49,17,2,4
5,1,45,1,3716,82,17,2,1
49,2,43,1,7802,26,16,5,4
40,3,62,1,2878,42,15,6,1
83,2,68,1,4778,53,14,5,3
58,3,44,1,6453,70,15,6,3
5,1,44,0,6977,76,19,6,2
54,2,56,1,8590,56,17,1,3
70,3,68,1,2680,22,14,7,2
36,3,42,1,4039,51,18,2,3
5,0,56,1,12819,39,14,3,3
66,2,69,1,7779,45,18,1,3
76,0,42,0,7003,67,14,5,4
41,0,45,1,6372,75,11,6,3
40,0,66,1,12431,83,15,7,2
5,3,50,0,7845,61,14,7,1
66,2,51,1,2045,82,15,4,2
59,2,59,1,6587,16,14,5,3
51,2,43,1,3227,45,9,5,3
24,1,44,1,2420,53,16,6,2
84,0,57,0,3236,42,12,3,4
6,0,60,1,3106,31,11,7,1
26,0,47,0,5078,69,15,6,2
26,0,55,1,804,33,17,6,2
32,3,69,1,803,43,17,2,1
38,2,54,1,8671,29,19,6,3
87,3,66,0,4576,75,15,2,3
34,0,44,0,9997,66,13,7,4
20,1,66,1,4044,51,14,5,1
18,0,40,1,8171,78,15,6,3
91,0,62,1,10366,36,14,7,4
23,0,52,1,1029,62,12,3,1
56,3,60,1,6089,61,12,7,2
22,3,42,0,5712,50,12,2,2
5,1,43,1,4067,63,13,3,1
58,2,42,1,4290,57,15,2,4
60,0,69,0,10261,82,17,5,3
58,0,66,1,8361,21,12,4,3
23,2,52,1,10799,72,16,7,2
26,1,41,1,6657,53,16,1,3
97,1,68,0,5006,26,15,1,4
61,1,43,1,3093,75,16,1,4
55,1,46,0,11460,20,16,7,4
5,0,43,1,500,70,10,6,1
73,3,69,1,4597,50,14,2,2
68,2,59,0,5497,55,15,4,3
55,0,47,1,3116,35,11,5,4
55,1,65,1,1863,47,11,6,2
53,3,53,0,1277,68,18,4,2
56,3,61,1,5377,35,15,1,3
22,2,59,1,4811,43,13,2,1
118,1,68,0,4315,29,13,1,4
7,1,49,1,8788,40,20,6,2
75,1,44,1,10091,66,20,3,4
5,0,41,1,7011,57,15,7,3
50,1,62,0,6802,30,15,3,3
27,3,49,0,2968,33,15,5,2
57,3,44,1,6680,33,14,4,4
143,3,45,1,6813,79,13,3,4
5,1,55,0,9174,79,9,1,1
56,3,68,1,9263,83,16,1,2
45,2,59,1,11473,31,13,5,3
98,2,44,1,3637,49,16,2,4
41,2,61,1,2499,18,17,2,2
29,1,50,1,5779,52,16,3,2
85,0,48,0,5700,17,21,4,4
40,2,47,1,7141,25,15,3,4
76,2,63,1,14145,83,12,5,4
40,3,57,1,8916,33,18,7,3
5,1,42,1,8642,70,13,1,2
42,2,47,1,1664,53,18,5,2
5,1,52,0,9135,83,14,1,1
76,1,48,1,5955,79,17,7,4
57,0,52,1,4047,16,15,7,4
131,2,55,1,5975,81,10,3,4
32,1,59,1,11078,34,13,6,3
49,0,61,0,8359,77,17,1,3
41,3,46,0,4602,26,15,4,3
65,2,54,1,3308,32,12,3,3
112,2,46,1,8389,20,14,5,4
20,0,64,1,3884,68,13,3,1
5,1,59,1,8252,43,12,3,1
34,1,66,1,2972,67,19,1,1
5,3,41,1,1214,28,16,7,1
5,2,41,1,4450,44,15,1,2
24,2,64,0,9150,45,15,7,2
11,1,59,1,6982,26,18,7,2
